file,source,status,previous_bytes,bytes,previous_sha256,sha256
data_mirror/published-tables/candidate_coverage.tex,paper/tables/candidate_coverage.tex,refreshed,4227,4224,9411bf9bb742867b1edfb3c60e524714262f1b023433c6d5815fb6e7d0aa3381,24be18073965ef0e5d1c1f90f4a6c5c9e302fed1e41a22e0d34b5689cd897d4a
data_mirror/published-tables/cap_conditioning.tex,paper/tables/cap_conditioning.tex,refreshed,3816,3813,82ff82f944cf4e3a65b3073e97439de388776768a8403c6a0cf19a9c6132fc94,028c7dc6a715003b3f8e645010df8d11771337b92355c5fd90e1a86786e21541
data_mirror/published-tables/cond_audit.tex,paper/tables/cond_audit.tex,refreshed,4076,4073,458081a0fbffb0a18ced693261257a0171fe8f1c2c985731c4935b5661013b5e,ccd33eefbd3e12585cbe1769627a7e2340a2b33230256b8776472306f9b355c1
data_mirror/published-tables/counts.tex,paper/tables/counts.tex,unchanged,190,190,643fe0755d5b2055ea9abb59b3986e5da7fd1533543aa695fd356a89a84fdd2f,643fe0755d5b2055ea9abb59b3986e5da7fd1533543aa695fd356a89a84fdd2f
data_mirror/published-tables/distill_confirm.tex,paper/tables/distill_confirm.tex,refreshed,2542,2539,8938940d910f0d7c8a0bedb4aaaec25417e4b44936d84dca70e3b5597f3a2240,eea5725affeba0b320d77e8d262e4ed5c444c9722d2abe0155d26199c85fe068
data_mirror/published-tables/distill_forms_audit.tex,paper/tables/distill_forms_audit.tex,refreshed,20171,20150,cb0e11fb7aff110c90f2513c8ebd424e1fa43f32d4de850235ad833d60ffcbb3,a5e7e1d53e898cb8e23a009dd53601b6ff95a287a91974be5ce36d91405d8388
data_mirror/published-tables/distill_paired.tex,paper/tables/distill_paired.tex,refreshed,5473,5470,f27b3b7240d32ad627521ac6afc757a18dfcd5bd00d9d1df43e55219a4db8a2a,bb6a74c67e38fb6a75c2cccd544d22f98be97930f4d761e838f36af72e2efd27
data_mirror/published-tables/dreq_full.tex,paper/tables/dreq_full.tex,refreshed,34499,33862,8fe212d20e3f2d9dd5efc6ff6c99de53aeb35d7d356dd8e6b61aa7deb993acdc,089011b6e6d99799d095638f71deab036d095aa6667370f27c0f87e1f06f8367
data_mirror/published-tables/dreq_main.tex,paper/tables/dreq_main.tex,refreshed,6147,6144,539c6c20e7a8c1ebd3bdf985f2e4329f3551e937fbc6d0d8d6017d2b9eafb06e,b44bd038f85779c867ba92725d58e586952e4685076359db19fb908faaa7ece6
data_mirror/published-tables/final_deliverables.tex,paper/tables/final_deliverables.tex,refreshed,2678,2675,067eb08ccb98f556a60d9a4132130d4d291605045f9e60cd874be7bcd15fd554,c06ece46c2069a49f9b267e86ffc8a9d29a171dbcd2792c437229c84a83f2d2c
data_mirror/published-tables/locked_rule.tex,paper/tables/locked_rule.tex,refreshed,11679,11673,54646be94e9dd7aa4794ddc0f51e146ef8fc094449c8b4fef07bea35bdb219b3,8ccd3fc0e417105dc64b75672f1267283256f12c295f0b366a414c1948113f3a
data_mirror/published-tables/main_context.tex,paper/tables/main_context.tex,refreshed,48390,48387,d375bd0e75d7db023ec647111dbaf62ab3e07615a28b9946bd489c242ee17c4b,da0d153391af401d59ae3dd4927058022bc77ea84047ab7c12d46959e2c8f3fb
data_mirror/published-tables/main_final.tex,paper/tables/main_final.tex,refreshed,98884,98881,9d1dda2cf873ca432b59e2301b8689bdd06cace8de1c1ceeb193b7fefd0b47a9,7365479102a38b53932f2f0901746d9615c6474c48beaac4f5f4a70474dce7f0
data_mirror/published-tables/main_prediction.tex,paper/tables/main_prediction.tex,unchanged,5787,5787,a6678293c6edee76ac2f35b4b094f42359200d4c6ae3741aef4dc7d34a5aa57a,a6678293c6edee76ac2f35b4b094f42359200d4c6ae3741aef4dc7d34a5aa57a
data_mirror/published-tables/main_prediction_v2.tex,paper/tables/main_prediction_v2.tex,refreshed,3843,3311,aa4adff25c93fac198c9a0f83a4385e28f1cfa010a5051385c2053bfe9208e47,3ade6cf27bd87f84df977c1e8b0f16991ae3c39d22fb22a2fcd9825c3f7ad70a
data_mirror/published-tables/model_arch.tex,paper/tables/model_arch.tex,refreshed,3670,3667,ffca8ec36ba93273b5434930e74979f75f66f178c75b3b6b56d2dd9ec3e8774d,f490d1b24999c89cf545487954721dfdcc503572eee982bdf09ad3a2fecc4050
data_mirror/published-tables/models_domains.tex,paper/tables/models_domains.tex,refreshed,3013,3010,b7d3be62bbbd469050b6bb3cbe3d3332a23dc921702e4545bd9ae7ce6fa5cf36,ec7efb5e82df06939befd8c6337883bc146aab7193b8ff1176d6ef3c1036400e
data_mirror/published-tables/musique_scope.tex,paper/tables/musique_scope.tex,refreshed,3170,3167,e7133ef861482bdadea76998f6b284021e31887a022b9e8b996e9352778fe76b,6726bc8c61d62e6847d8f22586dddd4c83bc11634631163a9066e358e23f0cd8
data_mirror/published-tables/p1v2.tex,paper/tables/p1v2.tex,refreshed,16135,16120,6d5b854590b2a266b2b4bfb22f5a78a98a933f4f42dfcdf477c4562eb81c122d,42905d4071454d1151f6c3ecb503c5ad4ac3f6101736a47ec0d6ef3032275421
data_mirror/published-tables/p2v2_test.tex,paper/tables/p2v2_test.tex,refreshed,2955,2952,60eab0324eec6d6a043d4fdca34da2c43862a1a2b994d6f4eb143732a920a0bf,79f0015b5f1526387491379fad99475896c233eeee8d23069c41e719cd947062
data_mirror/published-tables/p3_check.tex,paper/tables/p3_check.tex,refreshed,2089,2086,437abfe1b8c586d8de49190d646b4553bf361870404bd26339f07586502baa97,163c075d1d6956d5cb11dfefb9bbbf9267bc26a352b008afadd45b63f8184cb7
data_mirror/published-tables/panel_prune.tex,paper/tables/panel_prune.tex,refreshed,3812,3809,de4e7535a2ab03150da19bbac97a5cd6362161f0097124430ca75f3d1927be09,42b158f39e49f772394c461ffabccd516a3680d6ffb3b11a1c4a0e778834fef5
data_mirror/published-tables/panel_quant.tex,paper/tables/panel_quant.tex,refreshed,3466,3463,8eefb2b73fd146ccceb76c6472b472a6cd8af8f749e730dfdc18f3525832c49d,800d68ddc3d0273bd9c60f4ea00bd694609a8a4dd45a33b8be3f5208c7328a37
data_mirror/published-tables/pred_config_prune.tex,paper/tables/pred_config_prune.tex,refreshed,7125,7116,dab088db31c5461e2510feca5814f3be0380d2a142f296ea065dd7ce02f969dd,3831aac90bc293673ba8c93518820e1964f4508c5a6f043e32133c7a3ee73944
data_mirror/published-tables/pred_config_qd.tex,paper/tables/pred_config_qd.tex,refreshed,9093,9084,142eb965d5a308b2bd2e976ed4e81f9c538854cc3d6d4465fb5d16b46f9bcdb1,7b6277b99668e53395092b547b6f74189cb83e07d2131451ffcde618074d9a26
